dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.02805,0.000937,0.352,0.958094
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.022102,0.00087,0.347333,0.966246
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.023755,0.000744,0.348667,0.94208
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.02805,0.000937,0.352,0.950241
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.026684,0.000891,0.351333,0.955545
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.026684,0.000891,0.351333,0.948795
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.009581,0.000377,0.348667,-0.221129
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.011311,0.004065,0.379333,-0.308252
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.013769,0.002608,0.354667,-0.417441
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.005135,0.000639,0.349333,-0.511306
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.003312,0.000775,0.35,-0.423248
