dataset,run_name,split,n_graphs,cos_mean,cos_median,cos_std,l2_mean,l2_median,l2_std
ENZYMES,gin_dim128_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.763471245765686,0.7659683227539062,0.03449999541044235,1039.7479248046875,701.7274169921875,1172.44921875
ENZYMES,gin_dim128_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7365879416465759,0.7380243539810181,0.029192471876740456,770.8896484375,675.200927734375,500.6351623535156
ENZYMES,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.559593915939331,0.560505211353302,0.0486609973013401,1202.460693359375,1034.6435546875,799.6021118164062
ENZYMES,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.2965744435787201,0.29732972383499146,0.08540757745504379,483.48675537109375,138.67974853515625,1834.545166015625
ENZYMES,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7962085008621216,0.8000209927558899,0.037796832621097565,1804.3927001953125,1180.759033203125,1742.6046142578125
ENZYMES,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.626318633556366,0.6350797414779663,0.05021299421787262,1353.7735595703125,979.8511962890625,2180.9404296875
ENZYMES,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.3606063425540924,0.3554382622241974,0.052761197090148926,549.8345947265625,269.6481628417969,1430.15185546875
ENZYMES,gin_dim256_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.3650842010974884,0.3689924478530884,0.05994253233075142,710.291748046875,339.0376281738281,1777.936767578125
ENZYMES,gin_dim256_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7238492965698242,0.7257964611053467,0.03667496144771576,1256.7510986328125,742.530029296875,1733.2701416015625
ENZYMES,gin_dim256_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.5427061319351196,0.538031280040741,0.05091843381524086,1654.0938720703125,1111.94189453125,3337.950927734375
ENZYMES,gin_dim256_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.54399573802948,0.5398564338684082,0.04435616731643677,1116.898681640625,446.32733154296875,3099.7138671875
ENZYMES,gin_dim256_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.12589621543884277,0.12440080940723419,0.08006889373064041,460.0808410644531,158.88900756835938,1578.8404541015625
ENZYMES,gin_dim64_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.8174187541007996,0.8282333612442017,0.041495922952890396,1311.84814453125,781.3259887695312,1964.77880859375
ENZYMES,gin_dim64_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.6263940334320068,0.6174890995025635,0.04649822413921356,450.5137023925781,343.20758056640625,360.9281005859375
ENZYMES,gin_dim64_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7678271532058716,0.7676059007644653,0.03914831206202507,824.7805786132812,747.591552734375,459.2695007324219
ENZYMES,gin_dim64_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.46025022864341736,0.4544345736503601,0.0721576139330864,741.0531616210938,581.6068115234375,834.7852783203125
ENZYMES,gin_dim64_ep800_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.8044918179512024,0.8069227933883667,0.03536561131477356,933.9783935546875,894.29736328125,448.6932678222656
ENZYMES,gin_dim64_ep800_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.5631988644599915,0.5608600378036499,0.055910661816596985,401.7075500488281,278.7458801269531,457.3336181640625
ENZYMES,gin_dim64_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,test,60,0.7578496336936951,0.7644710540771484,0.045333132147789,861.4923706054688,711.0084228515625,640.5082397460938
