dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.007868,0.000171,0.344667,0.789292
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.024228,0.000788,0.348667,0.9284
IMDB-MULTI,GIN,gin_dim128_ep200_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.007867,9.5e-05,0.342667,0.843028
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.023755,0.000744,0.348667,0.930483
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.011294,0.001727,0.352,0.105122
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.023755,0.000744,0.348667,0.926444
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.011599,0.001794,0.352667,0.011246
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.024848,0.00081,0.35,0.934408
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.008959,0.000217,0.344667,0.829806
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,kmeans,0.024848,0.00081,0.35,0.944002
IMDB-MULTI,GIN,gin_dim128_ep500_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,384,1500,3,spectral,0.005913,0.001094,0.348,0.113145
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.024229,0.000775,0.349333,0.940469
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.01028,0.001647,0.350667,0.078362
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.026684,0.000891,0.351333,0.950618
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,spectral,0.009616,0.00156,0.351333,0.120053
IMDB-MULTI,GIN,gin_dim256_ep200_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,1500,3,kmeans,0.026684,0.000891,0.351333,0.952986
