dataset,method,run_name,split,dim,n_graphs,n_clusters,cluster_alg,nmi,ari,acc,silhouette
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.071104,0.020532,0.273333,0.137969
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,kmeans,0.048753,0.001615,0.176667,0.944562
ENZYMES,GIN,gin_dim128_ep800_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,768,600,6,spectral,0.112387,0.033999,0.285,0.032466
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.050357,0.004092,0.213333,0.337762
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.076538,0.019053,0.28,0.03685
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.057014,0.002326,0.18,0.92626
ENZYMES,GIN,gin_dim256_ep300_lr0.0005_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.097144,0.030259,0.305,0.058192
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.059068,0.002349,0.181667,0.874947
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.0_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,spectral,0.121225,0.023238,0.301667,0.019524
ENZYMES,GIN,gin_dim256_ep300_lr0.001_drop0.4_pooladd_gfeat0_norm1_attr1_ls0.05_de0.2,all,1536,600,6,kmeans,0.05321,0.002014,0.185,0.857169
